Movie Name,Star1,Star2,Star3,Star4,Votes,Genre1,Genre2,Genre3,Gross Collection,Popularity,Certification
The Dark Knight,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,"2,741,127",Action,Crime,Drama,,,PG-13
The Lord of the Rings: The Return of the King,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,"1,899,013",Action,Adventure,Drama,,,PG-13
Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,Shameik Moore,"185,491",Animation,Action,Adventure,,,PG
Inception,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,"2,432,436",Action,Adventure,Sci-Fi,,,PG-13
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,"1,927,425",Action,Adventure,Drama,,,PG-13
The Lord of the Rings: The Two Towers,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,"1,713,772",Action,Adventure,Drama,,,PG-13
The Matrix,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,"1,971,133",Action,Sci-Fi,,,,R
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,"1,329,834",Action,Adventure,Fantasy,,,PG
Soorarai Pottru,Sudha Kongara,Suriya,Paresh Rawal,Aparna Balamurali,"120,033",Action,Drama,,,,TV-MA
Terminator 2: Judgment Day,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,"1,131,068",Action,Sci-Fi,,,,R
Star Wars: Episode IV - A New Hope,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,"1,402,082",Action,Adventure,Fantasy,,,PG
Seven Samurai,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,"354,942",Action,Drama,,,,Not Rated
Harakiri,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,"62,143",Action,Drama,Mystery,,,Not Rated
Sita Ramam,Hanu Raghavapudi,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,"61,432",Action,Drama,Mystery,,,
Gladiator,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,"1,546,170",Action,Adventure,Drama,,,R
Léon: The Professional,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,"1,197,398",Action,Crime,Drama,,,R
Raiders of the Lost Ark,Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,"1,003,306",Action,Adventure,,,,PG
Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,"609,082",Animation,Action,Adventure,,,PG
Avengers: Endgame,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,"1,194,734",Action,Adventure,Drama,,,PG-13
Aliens,James Cameron,Sigourney Weaver,Michael Biehn,Carrie Henn,"737,021",Action,Adventure,Sci-Fi,,,R
Oldboy,Park Chan-wook,Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong,"601,507",Action,Drama,Mystery,,,R
The Dark Knight Rises,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,"1,754,277",Action,Drama,Thriller,,,PG-13
Avengers: Infinity War,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,"1,137,081",Action,Adventure,Sci-Fi,,,PG-13
Kaithi,Lokesh Kanagaraj,Karthi,Narain,Arjun Das,"36,785",Action,Adventure,Crime,,,Not Rated
Asuran,Vetrimaaran,Dhanush,Manju Warrier,Prakash Raj,"31,537",Action,Drama,,,,Not Rated
Top Gun: Maverick,Joseph Kosinski,Tom Cruise,Jennifer Connelly,Miles Teller,"609,552",Action,Drama,,,,PG-13
Heat,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,"683,149",Action,Crime,Drama,,,R
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher,"1,084,286",Action,Adventure,Fantasy,,,PG
Princess Mononoke,Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,"410,355",Animation,Action,Adventure,,,PG-13
North by Northwest,Alfred Hitchcock,Cary Grant,Eva Marie Saint,James Mason,"336,420",Action,Adventure,Mystery,,,Approved
Dangal,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,"199,079",Action,Biography,Drama,,,Not Rated
Kantara,Rishab Shetty,Rishab Shetty,Kishore Kumar G.,Achyuth Kumar,"96,853",Action,Adventure,Drama,,,Not Rated
K.G.F: Chapter 2,Prashanth Neel,Yash,Sanjay Dutt,Raveena Tandon,"140,977",Action,Crime,Drama,,,Not Rated
Vikram,Lokesh Kanagaraj,Kamal Haasan,Vijay Sethupathi,Fahadh Faasil,"64,776",Action,Crime,Thriller,,,
Shershaah,Vishnuvardhan,Sidharth Malhotra,Kiara Advani,Shiv Panditt,"125,557",Action,Biography,Drama,,,TV-14
Raatchasan,Ram Kumar,Vishnu Vishal,Amala Paul,Radha Ravi,"47,479",Action,Crime,Drama,,,Not Rated
Indiana Jones and the Last Crusade,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,"783,759",Action,Adventure,,,,PG-13
Spider-Man: No Way Home,Jon Watts,Tom Holland,Zendaya,Benedict Cumberbatch,"813,538",Action,Adventure,Fantasy,,,PG-13
Jurassic Park,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,"1,022,937",Action,Adventure,Sci-Fi,,,PG-13
Batman Begins,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,"1,514,502",Action,Crime,Drama,,,PG-13
1917,Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,"629,307",Action,Drama,War,,,R
Die Hard,John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,"906,120",Action,Thriller,,,,R
Kill Bill: Vol. 1,Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah,"1,147,660",Action,Crime,Thriller,,,R
V for Vendetta,James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves,"1,145,964",Action,Drama,Sci-Fi,,,R
Ran,Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,"130,308",Action,Drama,War,,,R
Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,Natsuki Hanae,Akari Kitô,Yoshitsugu Matsuoka,"66,095",Animation,Action,Adventure,,,R
Gangs of Wasseypur,Anurag Kashyap,Manoj Bajpayee,Nawazuddin Siddiqui,Tigmanshu Dhulia,"99,904",Action,Comedy,Crime,,,Not Rated
Baahubali 2: The Conclusion,S.S. Rajamouli,Prabhas,Rana Daggubati,Anushka Shetty,"108,086",Action,Drama,,,,Not Rated
Yojimbo,Akira Kurosawa,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,"126,724",Action,Drama,Thriller,,,Not Rated
Uri: The Surgical Strike,Aditya Dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina,"68,308",Action,Drama,History,,,Not Rated
